iter	Logloss
0	0.5985925076
1	0.5361238187
2	0.4992520471
3	0.4707530471
4	0.4535200018
5	0.4408551637
6	0.4319805812
7	0.4268245632
8	0.4218811918
9	0.4190707777
10	0.4162607805
11	0.4142068958
12	0.4120740396
13	0.4102466575
14	0.4086113516
15	0.4073948831
16	0.4065659718
17	0.4055955587
18	0.4045850719
19	0.4039619302
20	0.4034492726
21	0.4029339892
22	0.4025138823
23	0.4020187265
24	0.4015938486
25	0.4012686063
26	0.4007744979
27	0.4004494361
28	0.4002663441
29	0.3998831907
30	0.3996370707
31	0.3991930182
32	0.3988372557
33	0.398458134
34	0.3983274835
35	0.3981036676
36	0.3979249566
37	0.3977700102
38	0.397450222
39	0.3972242556
40	0.3969556599
41	0.3967952907
42	0.3965541868
43	0.3960922928
44	0.3958869948
45	0.3955738047
46	0.3953754001
47	0.3951193651
48	0.3948895099
49	0.3947360751
50	0.3944813557
51	0.3942843095
52	0.3940575031
53	0.3939215865
54	0.3937332846
55	0.3934624339
56	0.3932883902
57	0.3932110047
58	0.3930866557
59	0.3928972852
60	0.3926921889
61	0.392387109
62	0.3921255277
63	0.391840282
64	0.391598704
65	0.3913624553
66	0.3911895878
67	0.3910262242
68	0.3906902879
69	0.3905478579
70	0.3903325204
71	0.3900358145
72	0.3897941282
73	0.3895371904
74	0.3892055625
75	0.3890209934
76	0.3887504632
77	0.3885915338
78	0.3884137133
79	0.3883672826
80	0.3881799287
81	0.3880895001
82	0.3879263238
83	0.387645455
84	0.387420198
85	0.3874090754
86	0.3872839765
87	0.3869910529
88	0.3867223913
89	0.386473546
90	0.3862669226
91	0.3860832487
92	0.3858819191
93	0.3858315062
94	0.3857234682
95	0.385622453
96	0.3854565502
97	0.3853127493
98	0.385191696
99	0.3850732502
100	0.3849729528
101	0.3848444546
102	0.3846524715
103	0.3844812888
104	0.3844032766
105	0.384148407
106	0.3839734526
107	0.3838569114
108	0.3836889057
109	0.3835309784
110	0.383322884
111	0.3831197441
112	0.3829297816
113	0.3827434184
114	0.3827151038
115	0.3825631599
116	0.3822426319
117	0.3821742128
118	0.3819957478
119	0.381868866
120	0.3817551047
121	0.3815309695
122	0.3813200195
123	0.3811682925
124	0.3809519793
125	0.3807228879
126	0.3804903559
127	0.3803052439
128	0.3802760799
129	0.3801035915
130	0.3800951402
131	0.3800310303
132	0.3799282085
133	0.3798496018
134	0.3797268108
135	0.3795709571
136	0.3794928904
137	0.3793178552
138	0.379132458
139	0.3789225834
140	0.378707648
141	0.3786830992
142	0.3784674509
143	0.3784308203
144	0.3782180684
145	0.3780396378
146	0.3779259227
147	0.3778389228
148	0.3776886494
149	0.3776341058
150	0.3775148684
151	0.3773609978
152	0.377110146
153	0.3769888324
154	0.3767521022
155	0.376709596
156	0.376644399
157	0.3764768986
158	0.376404852
159	0.3762312203
160	0.3760747497
161	0.3760458539
162	0.3757834987
163	0.375679076
164	0.3755124902
165	0.3753420501
166	0.3751839307
167	0.3750248396
168	0.3748858388
169	0.3747731088
170	0.3745715967
171	0.3745357733
172	0.3743976025
173	0.3743314534
174	0.3741423891
175	0.3740724918
176	0.373981599
177	0.373969072
178	0.3738233895
179	0.3737344244
180	0.373619168
181	0.3735243503
182	0.3733036104
183	0.3731022662
184	0.3730405838
185	0.3728527917
186	0.3727498305
187	0.3726833243
188	0.3725270851
189	0.3724692686
190	0.3723751129
191	0.3722232823
192	0.3720344336
193	0.3719370168
194	0.3717372926
195	0.3715637331
196	0.3714286265
197	0.371243516
198	0.3710290834
199	0.3708520788
